Mirai Botnet Hits Normalised,Mirai Sigs,Info Exposure,BGP Hijacks,Mass Surv,Civs Arrested,Results
0.003170828,0.002635097,0.336871519,0.171156894,1,0,0.185968261
0.329601479,0.123807264,0.211732798,0.038034865,0,0,0.169791943
0.339273441,0.306145717,0.200381337,0,0,0,0.225652715
0.012808762,0.006260405,0.959530779,0.041204437,1,1,0.401121309
0.07260705,0.063285826,0.744093387,0,0,1,0.314731064
0.062103898,0.051267154,0.772282553,0.001584786,1,1,0.383499589
0.593303047,0.258801889,0.201536289,0.064976228,0,1,0.376556173
0.043895235,0.032354529,0.215448932,0.006339144,1,1,0.263363177
0.133794738,0.1199767,0.375646979,0.334389857,0,1,0.272702143
1,0.307888064,0.576466535,0.009508716,0,1,0.577821791
0.01568993,0.009100811,0.918595413,0.055467512,1,1,0.395792975
0.14132949,0.167511164,0.910365872,0.153724247,1,1,0.473346679
0.139618334,0.043047571,0.297007304,0.023771791,1,0,0.212273654
0.443405845,0.264587808,0.138246626,0.014263074,0,0,0.215014948
0.483271279,1,0.998919357,0.004754358,1,1,0.745240691
0.015393522,0.013265426,0.40987434,0.00792393,0,0,0.090038403
0.315070689,0.885067295,0,0.003169572,1,1,0.471851623
0.015361708,0.009813233,0.892305206,0.058637084,1,1,0.390895909
0.499846373,0.244875295,0.463619965,0,1,1,0.546281071
0.082110997,0.140551972,0.273780871,0.003169572,1,1,0.307816825
0.009005907,0.006032871,0.877098379,0.169572108,1,1,0.396285233
0.097854977,0.110733777,0.207538106,0.004754358,1,0,0.193486306
0.010550084,0.006669336,0.32043034,0.001584786,0,0,0.068743439
0.257614559,0.093904824,0.967636785,0.247226624,1,1,0.514315352
0.106144357,0.187988281,0.964786733,0.047543582,1,1,0.467152668
0.183365523,0.06943129,0.910265484,0.152139461,1,1,0.466162958
0.049935981,0.054452329,0.731852576,0.017432647,1,0,0.27398504
0.04210209,0.048246084,0.954392872,0.034865293,1,0,0.316644948
0.28030058,0.245180615,0.984769496,0.001584786,1,1,0.530238675
0.11542728,0.093536923,0.289200371,0.004754358,1,1,0.311651078
0.011081951,0.000804767,0.320961853,0.003169572,0,1,0.167994867
0.056559894,0.057939076,0.97789078,0.047543582,1,1,0.428888297
0.064801999,0.047077259,0.335286302,0.009508716,0,1,0.196864183
0.031459197,0.020192718,0.971624759,0.015847861,0,1,0.309386041
0.023012591,5.48E-05,0.362372567,0.00792393,0,1,0.180181642
0.003149003,0.000484034,0.213320207,0.064976228,0,0,0.050203172
0.133144434,0.211567088,0.186292104,0.04437401,1,1,0.32395257
0.10130844,0.177699635,0.951813658,0.009508716,0,1,0.357246062
0.103733081,0.285745668,0.34709993,0.004754358,0,1,0.25816448
0.080942707,0,0.186973335,0.006339144,1,1,0.327889242
0.230358735,0.40914,0.160555612,0.004754358,0,1,0.283522179
0.158862156,0.126379953,0.12371065,0.012678288,1,1,0.298944596
0.096885344,0.047119436,0.459975242,0.014263074,0,1,0.231910846
0.608419957,0.730416294,0.860387054,0.114104596,1,1,0.712097116
1.12E-18,0,0.280021608,0,0,1,0.222863317
0.029551496,0.023607112,0.95277895,0.00792393,1,1,0.404935054
0.59086841,0.253272914,0.917055472,0.026941363,1,0,0.514020337
0.019160776,0.022077062,0.471010331,0.04437401,1,0,0.208803112
0.111743201,0.14530703,0.364109692,0.001584786,1,0,0.235564783
0.00622509,0.000671875,0.523062003,0.063391442,0,1,0.212953447
0.002644263,0.001180176,0.948415922,0,1,1,0.434124998
0.1514568,0.226158511,0.958843286,0.011093502,1,1,0.48354675
0.160260089,0.134182293,0.682447087,0.179080824,1,1,0.429311985
0.296958131,0.349014009,0.943086721,0.017432647,1,1,0.54925085
0.060916724,0.037914563,0.312654996,0.006339144,0,1,0.189022844
0.235778472,0.119951855,0.20160347,0.055467512,1,1,0.340591358
0.105233175,0.123508192,0.839604966,0.006339144,1,1,0.424826499
0.01353004,0.006710067,0.84022307,0.207606973,1,1,0.394206337
0.00498483,1.93E-18,0.874821388,1,1,0,0.376459727
0.144683464,0.094758811,0.031623553,0.001584786,0,1,0.168839991
0.097734637,0.140676848,0.165343262,0.003169572,1,1,0.29084137
0.509860669,0.453119915,0.958995105,0.017432647,1,1,0.63712447
0.029128264,0.021807912,0.199539112,0.00792393,0,1,0.153800277
0.013588196,0,0.249509697,0.034865293,0,1,0.196831159
