CC,ASNs
US,27502
BR,6719
RU,6700
GB,2956
DE,2721
PL,2646
AU,2574
IN,2488
UA,2392
CA,2091
FR,1603
ID,1565
CN,1546
RO,1458
NL,1428
IT,1172
ES,1138
JP,1123
KR,1027
AR,964
HK,952
CH,952
SE,867
BG,851
BD,817
CZ,753
TR,702
IR,681
AT,655
NZ,631
EU,588
TH,575
ZA,558
SG,541
PH,461
MX,410
DK,406
NO,372
VN,369
TW,359
IL,334
BE,334
FI,333
LV,321
CL,320
SI,299
HU,296
MY,273
IE,271
GR,218
CO,213
NG,208
SK,207
RS,202
MD,198
LB,191
SA,188
PK,182
LT,168
KZ,151
BY,148
HR,142
EE,140
PA,139
IQ,131
PT,130
KE,127
EC,119
KH,117
CY,112
LU,108
NP,105
GE,99
VE,95
CR,93
AE,91
AM,88
HN,87
EG,87
TZ,85
GH,85
PR,80
MM,80
IS,78
AL,74
KW,71
AF,67
PE,61
MN,60
PY,59
UZ,57
PS,56
AO,56
MK,54
AZ,54
UG,50
KG,50
GT,50
BA,47
BO,45
MT,44
DO,44
SV,41
JO,40
MU,38
ZW,35
UY,35
CW,34
CD,34
MZ,33
NI,30
BZ,29
BW,28
TN,26
LI,26
LA,26
BH,26
ZM,24
PG,24
LK,24
GI,23
CM,23
SC,22
ME,22
RW,21
CI,21
BM,21
SL,20
BF,20
SO,18
MW,18
DZ,18
BT,18
NA,17
GA,17
CG,17
VG,16
OM,16
KY,16
FJ,16
TT,15
TJ,15
QA,15
MA,15
BJ,15
NC,14
HT,14
GN,14
BN,14
VU,13
MV,13
JM,13
MO,12
LY,12
LR,12
IM,12
SZ,11
SN,11
ML,11
MG,11
GU,11
BI,11
BB,11
SS,10
SM,10
SD,10
LS,10
WS,9
VI,9
TD,9
GM,9
TM,8
TL,8
FO,8
BS,8
TG,7
SY,7
NE,7
JE,7
GQ,7
CU,7
SR,6
SB,6
MF,6
GF,6
GD,6
AG,6
YE,5
PF,5
LC,5
GY,5
BQ,5
BL,5
VA,4
TO,4
SX,4
RE,4
MR,4
KN,4
GP,4
FM,4
DM,4
DJ,4
CV,4
AW,4
PW,3
NR,3
KI,3
GG,3
CF,3
AS,3
AI,3
YT,2
UM,2
TC,2
ST,2
NF,2
MQ,2
MH,2
MC,2
KM,2
GW,2
GL,2
ET,2
AX,2
AP,2
WF,1
VC,1
UK,1
TV,1
TK,1
PM,1
NU,1
MP,1
KP,1
IO,1
FK,1
ER,1
CK,1
AN,1
AD,1
